Sira	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	MS	LNS	VelOn	Soz1
336	9	Mi5	E5	336	336	3	16	341	99	96	
337	9	Re5	D5	327	327	1	16	114	95	96	
337.5	53										
338	9	Re5	D5	327	327	1	16	114	99	96	
339	9	Do5	C5	318	318	1	16	114	99	96	
340	9	Do5	C5	318	318	1	16	114	99	96	
341	9	Re5	D5	327	327	1	16	114	99	96	
342	9	Mi5	E5	336	336	3	16	341	99	96	
343	9	Re5	D5	327	327	1	16	114	99	96	
344	9	Re5	D5	327	327	1	16	114	99	96	
345	9	Do5	C5	318	318	1	16	114	99	96	
346	9	Do5	C5	318	318	1	16	114	99	96	
347	9	Re5	D5	327	327	1	16	114	99	96	
348	9	Mi5	E5	336	336	1	16	114	99	96	
349	9	Fa5	F5	340	340	1	16	114	99	96	
350	9	Sol5	G5	349	349	1	16	114	99	96	
351	9	La5	A5	358	358	1	16	114	99	96	
352	9	Sol5	G5	349	349	1	16	114	99	96	
353	9	Fa5	F5	340	340	1	16	114	99	96	
354	9	Mi5	E5	336	336	1	16	114	99	96	
355	9	Re5	D5	327	327	1	16	114	99	96	
356	9	Re5	D5	327	327	1	16	114	99	96	
357	9	Do5	C5	318	318	1	16	114	99	96	
358	9	Do5	C5	318	318	1	16	114	99	96	
359	9	Si4b1	B4b1	313	313	1	16	114	95	96	
360	9	Mi5	E5	336	336	1	16	114	95	96	
361	9	Re5	D5	327	327	1	16	114	95	96	
362	9	Do5	C5	318	318	1	16	114	95	96	
363	9	Re5	D5	327	327	1	16	114	95	96	
364	9	Re5	D5	327	327	1	16	114	99	96	
365	9	Do5	C5	318	318	1	16	114	99	96	
366	9	Si4b1	B4b1	313	313	1	16	114	99	96	
367	9	La4	A4	305	305	1	16	114	99	96	
368	9	Si4b1	B4b1	313	313	1	8	227	99	96	
369	9	Do5	C5	318	318	1	8	227	99	96	
370	9	Si4b1	B4b1	313	313	1	4	455	95	96	
370.5	53										
