Sıra	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
250	9	Re5	D5	327	327	1	4	263	95	96	ga	27.5
251	9	Re5	D5	327	327	1	4	263	95	96	fü	27.7
252	9	Re5	D5	327	327	3	8	395	95	96	lâ	28
253	9	Re5	D5	327	327	1	4	263	95	96	ne 	28.2
254	9	Re5	D5	327	327	1	4	263	99	96	nâz 	28.4
255	9	Mi5	E5	336	336	1	8	132	95	96		28.5
256	9	Re5	D5	327	327	1	8	132	99	96	i	28.6
257	10	Do5	C5	318	318	1	8	132	95	96		28.7
258	8	Re5	D5	327	327	0	0	0	95	96		28.7
259	9	Do5	C5	318	318	1	4	263	99	96	le  	28.9
260	9	Si4b2	B4b1	312	313	1	16	66	99	96		28.95
261	9	La4	A4	305	305	1	16	66	99	96		29
262	9	Si4b2	B4b1	312	313	1	4	263	95	96		29.2
263	53			0	0	0	0	0	0	0		29.2
264	55			0	0	0	0	0	0	0		29.2
265	9	Mi5	E5	336	336	1	8	132	95	96	ki 	29.3
266	9	Re5	D5	327	327	1	4	263	95	96	bu 	29.5
267	9	Do5	C5	318	318	1	8	132	99	96	gi	29.6
268	9	Si4b2	B4b1	312	313	1	8	132	95	96		29.7
269	9	Si4b2	B4b1	312	313	1	4	263	99	96	riş	29.9
270	9	La4	A4	305	305	1	8	132	95	96		30
271	9	La4	A4	305	305	1	4	263	95	96	me	30.2
272	9	La4	A4	305	305	1	4	263	99	96	ler 	30.4
273	9	Sol4	G4	296	296	1	8	132	95	96		30.5
274	9	Re5	D5	327	327	1	4	263	50	96	ne	30.7
275	9	Re5	D5	327	327	3	8	395	95	96	dir 	31
276	53			0	0	0	0	0	0	0		31
277	9			-1	-1	1	4	263	100	0		31.2
278	9	Re5	D5	327	327	1	8	132	95	96	ki 	31.3
279	9	Re5	D5	327	327	1	4	263	95	96	bu 	31.5
280	9	Do5	C5	318	318	1	8	132	99	96	gi	31.6
281	9	Si4b2	B4b1	312	313	1	8	132	95	96		31.7
282	9	Re5	D5	327	327	1	4	263	99	96	riş	31.9
283	9	Do5	C5	318	318	1	8	132	95	96		32
284	9	Do5	C5	318	318	1	4	263	95	96	me	32.2
285	9	Do5	C5	318	318	1	4	263	99	96	ler 	32.4
286	9	Si4b2	B4b1	312	313	1	8	132	95	96		32.5
287	9	Si4b2	B4b1	312	313	1	8	132	99	96	ne	32.6
288	9	La4	A4	305	305	1	8	132	95	96		32.7
289	9	La4	A4	305	305	3	8	395	95	96	dir  	33
290	53			0	0	0	0	0	0	0		33
291	9			-1	-1	1	4	263	100	0		33.2
292	54			0	0	0	0	0	0	0	huseyni@la4	33.2
293	9	Re5	D5	327	327	1	8	132	95	96	Gö	33.3
294	9	Mi5	E5	336	336	1	4	263	95	96	ren 	33.5
295	9	Mi5	E5	336	336	1	4	263	95	96	o 	33.7
296	9	Mi5	E5	336	336	3	8	395	95	96	gül 	34
297	9	Mi5	E5	336	336	1	4	263	95	96	ce	34.2
298	9	Mi5	E5	336	336	1	4	263	99	96	mâ	34.4
299	9	Fa5	F5	340	340	1	8	132	95	96		34.5
300	9	Sol5	G5	349	349	1	8	132	99	96	li	34.6
301	9	Mi5	E5	336	336	1	8	132	95	96		34.7
302	9	Mi5	E5	336	336	1	4	263	99	96	ni 	34.9
303	9	Re5	D5	327	327	1	8	132	95	96		35
