Sıra	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
367	9	Sol4	G4	296	296	1	8	250	95	96	.	57
368	9	Do5	C5	318	318	5	4	2500	95	96	.	58
369	53			0	0	0	0	0	0	0		58
370	9	Si4b1	B4b1	313	313	5	8	1250	95	96	.	58.5
371	9	Do5	C5	318	318	1	8	250	95	96	.	58.6
372	9	Re5	D5	327	327	1	8	250	95	96	.	58.7
373	9	Si4b1	B4b1	313	313	1	8	250	95	96	.	58.8
374	9	La4b4	A4b4	301	301	1	8	250	95	96	.	58.9
375	9	Sol4	G4	296	296	1	8	250	95	96	.	59
376	9	Re5	D5	327	327	7	8	1750	95	96	.	59.7
377	9	Re5	D5	327	327	1	8	250	95	96	.	59.8
378	9	Mi5b4	E5b4	332	332	1	8	250	95	96	.	59.9
379	9	Fa5#4	F5#4	344	344	1	8	250	95	96	.	60
380	53			0	0	0	0	0	0	0		60
381	9	Sol5	G5	349	349	3	16	375	95	96	.	60.15
382	9	Fa5#4	F5#4	344	344	1	16	125	95	96	.	60.2
383	9	Mi5b4	E5b4	332	332	1	8	250	95	96	.	60.3
384	9	Re5	D5	327	327	1	8	250	95	96	.	60.4
385	9	Do5	C5	318	318	1	8	250	95	96	.	60.5
386	9	Si4b1	B4b1	313	313	1	8	250	95	96	.	60.6
387	9	Do5	C5	318	318	1	8	250	95	96	.	60.7
388	9	Re5	D5	327	327	1	8	250	95	96	.	60.8
389	9	Mi5b4	E5b4	332	332	1	8	250	95	96	.	60.9
390	9	Fa5	F5	340	340	1	8	250	95	96	.	61
391	9	Fa5	F5	340	340	1	4	500	95	96	.	61.2
392	9	La5b4	A5b4	354	354	1	8	250	95	96	.	61.3
393	9	Sol5	G5	349	349	1	8	250	95	96	.	61.4
394	9	Fa5	F5	340	340	1	8	250	95	96	.	61.5
395	9	Mi5b4	E5b4	332	332	1	8	250	95	96	.	61.6
396	9	Re5	D5	327	327	1	8	250	95	96	.	61.7
397	9	Mi5b4	E5b4	332	332	3	8	750	95	96	.	62
398	53			0	0	0	0	0	0	0		62
399	9	Si4b1	B4b1	313	313	5	8	1250	95	96	.	62.5
400	9	Re5	D5	327	327	5	8	1250	95	96	.	63
401	9	Sol5	G5	349	349	3	16	375	95	96	.	63.15
402	9	Fa5#4	F5#4	344	344	1	16	125	95	96	.	63.2
403	9	Mi5b4	E5b4	332	332	1	8	250	95	96	.	63.3
404	9	Re5	D5	327	327	1	8	250	95	96	.	63.4
405	9	Do5	C5	318	318	1	8	250	95	96	.	63.5
406	9	Si4b1	B4b1	313	313	1	8	250	95	96	.	63.6
407	9	La4b4	A4b4	301	301	1	8	250	95	96	.	63.7
408	9	Sol4	G4	296	296	3	8	750	95	96	.  	64
409	53			0	0	0	0	0	0	0		64
410	9	Sol5	G5	349	349	3	8	750	95	96	Se	64.3
411	9	Re5	D5	327	327	1	4	500	95	96	ne	64.5
412	9	Mi5b4	E5b4	332	332	1	8	250	99	96	ler	64.6
413	9	Re5	D5	327	327	1	8	250	99	96		64.7
414	9	Do5	C5	318	318	1	8	250	99	96		64.8
415	9	Si4b1	B4b1	313	313	1	8	250	99	96		64.9
416	9	Do5	C5	318	318	1	8	250	95	96		65
417	9	Re5	D5	327	327	5	4	2500	95	96	ce 	66
418	53			0	0	0	0	0	0	0		66
419	9	Si4b1	B4b1	313	313	3	8	750	95	96	aş	66.3
420	9	Si4b1	B4b1	313	313	1	4	500	95	96	kı 	66.5
421	9	Do5	C5	318	318	1	8	250	99	96	an	66.6
422	9	Re5	D5	327	327	1	8	250	99	96		66.7
423	9	Si4b1	B4b1	313	313	1	8	250	99	96		66.8
424	9	La4b4	A4b4	301	301	1	8	250	99	96		66.9
425	9	Sol4	G4	296	296	1	8	250	95	96		67
426	9	Do5	C5	318	318	5	8	1250	99	96	mış  	67.5
427	9	Si4b1	B4b1	313	313	1	8	250	99	96		67.6
428	9	La4b4	A4b4	301	301	1	8	250	99	96		67.7
429	9	Sol4	G4	296	296	3	8	750	95	96		68
430	53			0	0	0	0	0	0	0		68
431	9	Mi5b4	E5b4	332	332	3	8	750	95	96	Mah	68.3
432	9	Mi5b4	E5b4	332	332	1	4	500	95	96	zun 	68.5
433	9	Mi5b4	E5b4	332	332	1	8	250	99	96	kalp	68.6
