Sıra	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
231	9	Sol5	G5	349	349	1	16	200	99	96		10.77778
232	9	Fa5	F5	340	340	1	8	400	99	96		10.83333
233	9	La5	A5	358	358	1	8	400	99	96		10.88889
234	9	Sol5	G5	349	349	1	4	800	99	96		11
235	53			0	0	0	0	0	0	0		11
236	9	Sol5	G5	349	349	1	8	400	99	96		11.05556
237	9	Si5b5	B5b5	362	362	1	16	200	99	96		11.08333
238	9	La5	A5	358	358	1	16	200	99	96		11.11111
239	9	Sol5	G5	349	349	1	16	200	99	96		11.13889
240	9	Fa5	F5	340	340	1	16	200	99	96		11.16667
241	9	Mi5b2	E5b1	334	335	1	16	200	99	96		11.19444
242	9	Re5	D5	327	327	1	16	200	99	96		11.22222
243	9	Do5	C5	318	318	1	4	800	95	96		11.33333
244	53			0	0	0	0	0	0	0		11.33333
245	9	Mi5b2	E5b1	334	335	1	8	400	95	96	e	11.38889
246	9	Fa5	F5	340	340	1	8	400	95	96	li	11.44444
247	9	Sol5	G5	349	349	1	2	1600	95	96	dir  	11.66667
248	55			0	0	0	0	0	0	0		11.66667
249	53			0	0	0	0	0	0	0		11.66667
250	9	Sol5	G5	349	349	1	8	400	95	96	SAZ	11.72222
251	9	La5b5	A5b5	353	353	1	16	200	95	96	.	11.75
252	9	Si5b5	B5b5	362	362	1	16	200	95	96	.	11.77778
253	9	La5b5	A5b5	353	353	1	16	200	95	96	.	11.80556
254	9	Sol5	G5	349	349	1	16	200	95	96	.	11.83333
255	9	Fa5	F5	340	340	1	8	400	95	96	.	11.88889
256	54			0	0	0	0	0	0	0	ussak@re5	11.88889
257	9	Mi5b2	E5b1	334	335	1	8	400	95	96	.	11.94444
258	9	Fa5	F5	340	340	1	8	400	95	96	.	12
259	9	Sol5	G5	349	349	3	32	300	95	96	.	12.04167
260	9	Fa5	F5	340	340	1	32	100	95	96	.	12.05556
261	9	Mi5b5	E5b5	331	331	1	16	200	95	96	.	12.08333
262	9	Re5	D5	327	327	1	16	200	95	96	.	12.11111
263	9	Do5	C5	318	318	1	16	200	95	96	.	12.13889
264	9	Re5	D5	327	327	1	16	200	95	96	.	12.16667
265	9	Mi5b1	E5b1	335	335	1	16	200	95	96	.	12.19444
266	9	Fa5	F5	340	340	1	16	200	95	96	.	12.22222
267	9	Sol5	G5	349	349	1	8	400	95	96	.	12.27778
268	55			0	0	0	0	0	0	0		12.27778
269	53			0	0	0	0	0	0	0		12.27778
270	9	Fa5	F5	340	340	1	4	800	95	96	Dost_	12.38889
271	9	Sol5	G5	349	349	1	8	400	95	96	e	12.44444
272	9	Sol5	G5	349	349	1	2	1600	95	96	lin	12.66667
273	53			0	0	0	0	0	0	0		12.66667
274	9	Sol5	G5	349	349	1	8	400	99	96	den 	12.72222
275	9	La5b5	A5b5	353	353	1	16	200	99	96		12.75
276	9	Sol5	G5	349	349	1	16	200	99	96		12.77778
277	9	Fa5	F5	340	340	1	4	800	99	96		12.88889
278	9	Fa5	F5	340	340	1	8	400	99	96		12.94444
279	9	Mi5b5	E5b5	331	331	1	8	400	99	96		13
280	9	Fa5	F5	340	340	1	8	400	99	96		13.05556
281	9	Sol5	G5	349	349	1	16	200	99	96		13.08333
282	9	Fa5	F5	340	340	1	16	200	99	96		13.11111
283	9	Mi5b5	E5b5	331	331	1	8	400	99	96		13.16667
284	9	Re5	D5	327	327	1	8	400	99	96		13.22222
285	9	Do5	C5	318	318	1	8	400	99	96		13.27778
286	9	Si4b5	B4b5	309	309	1	8	400	95	96		13.33333
287	9	Do5	C5	318	318	1	8	400	95	96	yü	13.38889
288	9	Re5	D5	327	327	1	8	400	95	96	re	13.44444
289	9	Mi5b5	E5b5	331	331	1	8	400	99	96	ğim 	13.5
290	9	Re5	D5	327	327	1	16	200	99	96		13.52778
291	9	Do5	C5	318	318	1	16	200	99	96		13.55556
292	9	Si4b5	B4b5	309	309	1	8	400	99	96		13.61111
293	9	La4b5	A4b5	300	300	1	16	200	99	96		13.63889
294	9	Sol4	G4	296	296	1	16	200	95	96		13.66667
295	53			0	0	0	0	0	0	0		13.66667
296	54			0	0	0	0	0	0	0	ussak@sol4	13.66667
297	9	Do5	C5	318	318	1	2	1600	99	96	yâ	13.88889
298	9	Si4b5	B4b5	309	309	1	8	400	99	96		13.94444
299	9	La4b3	A4b4	302	301	1	8	400	99	96		14
300	55			0	0	0	0	0	0	0		14
301	9	Si4b5	B4b5	309	309	1	16	200	99	96		14.02778
302	9	Do5	C5	318	318	1	16	200	99	96		14.05556
303	9	Re5	D5	327	327	1	16	200	99	96		14.08333
304	9	Mi5b5	E5b5	331	331	1	16	200	99	96		14.11111
305	9	Re5	D5	327	327	1	16	200	99	96		14.13889
306	9	Do5	C5	318	318	1	16	200	99	96		14.16667
307	9	Si4b5	B4b5	309	309	1	16	200	99	96		14.19444
308	9	La4b5	A4b5	300	300	1	16	200	99	96		14.22222
309	9	Sol4	G4	296	296	1	4	800	95	96		14.33333
310	53			0	0	0	0	0	0	0		14.33333
311	9	Do5	C5	318	318	1	8	400	95	96	re	14.38889
312	9	Re5	D5	327	327	1	8	400	95	96	li	14.44444
313	9	Re5	D5	327	327	3	16	600	99	96	dir 	14.52778
314	9	Do5	C5	318	318	1	16	200	99	96		14.55556
315	9	Si4b5	B4b5	309	309	1	8	400	99	96		14.61111
316	9	Re5	D5	327	327	1	8	400	95	96		14.66667
317	9	Do5	C5	318	318	1	2	1600	99	96	yâ	14.88889
318	9	Si4b5	B4b5	309	309	1	4	800	99	96		15
319	9	Si4b5	B4b5	309	309	1	8	400	99	96		15.05556
320	9	La4b5	A4b5	300	300	1	4	800	99	96		15.16667
321	9	Sol4	G4	296	296	1	16	200	99	96		15.19444
322	9	Fa4	F4	287	287	1	16	200	99	96		15.22222
323	9	Fa4	F4	287	287	1	8	400	99	96		15.27778
324	9	Sol4	G4	296	296	1	16	200	99	96		15.30556
325	9	La4b5	A4b5	300	300	1	16	200	95	96		15.33333
326	9	Si4b5	B4b5	309	309	1	8	400	95	96	re	15.38889
327	9	La4b5	A4b5	300	300	1	16	200	99	96	li	15.41667
328	9	Sol4	G4	296	296	1	16	200	95	96		15.44444
329	9	Sol4	G4	296	296	1	2	1600	95	96	dir  	15.66667
330	53			0	0	0	0	0	0	0		15.66667
331	9	Sol5	G5	349	349	1	8	400	95	96	SAZ	15.72222
332	9	La5b5	A5b5	353	353	1	16	200	95	96	.	15.75
333	9	Si5b5	B5b5	362	362	1	16	200	95	96	.	15.77778
334	9	La5b5	A5b5	353	353	1	16	200	95	96	.	15.80556
335	9	Sol5	G5	349	349	1	16	200	95	96	.	15.83333
336	9	Fa5	F5	340	340	1	8	400	95	96	.	15.88889
337	54			0	0	0	0	0	0	0	ussak@re5	15.88889
338	9	Mi5b3	E5b4	333	332	1	8	400	95	96	.	15.94444
339	9	Fa5	F5	340	340	1	8	400	95	96	.	16
340	9	Sol5	G5	349	349	3	32	300	95	96	.	16.04167
341	9	Fa5	F5	340	340	1	32	100	95	96	.	16.05556
342	9	Mi5b5	E5b5	331	331	1	16	200	95	96	.	16.08333
343	9	Re5	D5	327	327	1	16	200	95	96	.	16.11111
344	9	Do5	C5	318	318	1	16	200	95	96	.	16.13889
345	9	Re5	D5	327	327	1	16	200	95	96	.	16.16667
346	9	Mi5b1	E5b1	335	335	1	16	200	95	96	.	16.19444
347	9	Fa5	F5	340	340	1	16	200	95	96	.	16.22222
348	9	Sol5	G5	349	349	1	8	400	95	96	.	16.27778
349	55			0	0	0	0	0	0	0		16.27778
350	53			0	0	0	0	0	0	0		16.27778
351	9	Fa5	F5	340	340	1	4	800	95	96	Dost_	16.38889
352	9	Sol5	G5	349	349	1	8	400	95	96	e	16.44444
353	9	Sol5	G5	349	349	1	2	1600	95	96	lin	16.66667
354	53			0	0	0	0	0	0	0		16.66667
355	9	Sol5	G5	349	349	1	8	400	99	96	den 	16.72222
356	9	La5b5	A5b5	353	353	1	16	200	99	96		16.75
357	9	Sol5	G5	349	349	1	16	200	99	96		16.77778
358	9	Fa5	F5	340	340	1	4	800	99	96		16.88889
359	9	Fa5	F5	340	340	1	8	400	99	96		16.94444
360	9	Mi5b5	E5b5	331	331	1	8	400	99	96		17
361	9	Fa5	F5	340	340	1	8	400	99	96		17.05556
362	9	Sol5	G5	349	349	1	16	200	99	96		17.08333
363	9	Fa5	F5	340	340	1	16	200	99	96		17.11111
364	9	Mi5b5	E5b5	331	331	1	8	400	99	96		17.16667
365	9	Re5	D5	327	327	1	8	400	99	96		17.22222
366	9	Do5	C5	318	318	1	8	400	99	96		17.27778
367	9	Si4b5	B4b5	309	309	1	8	400	95	96		17.33333
368	9	Do5	C5	318	318	1	8	400	95	96	yü	17.38889
369	9	Re5	D5	327	327	1	8	400	95	96	re	17.44444
370	9	Mi5b5	E5b5	331	331	1	8	400	99	96	ğim 	17.5
371	9	Re5	D5	327	327	1	16	200	99	96		17.52778
372	9	Do5	C5	318	318	1	16	200	99	96		17.55556
373	9	Si4b5	B4b5	309	309	1	8	400	99	96		17.61111
374	9	La4b5	A4b5	300	300	1	16	200	99	96		17.63889
375	9	Sol4	G4	296	296	1	16	200	95	96		17.66667
376	53			0	0	0	0	0	0	0		17.66667
377	54			0	0	0	0	0	0	0	ussak@sol4	17.66667
378	9	Do5	C5	318	318	1	2	1600	99	96	yâ	17.88889
379	9	Si4b5	B4b5	309	309	1	8	400	99	96		17.94444
380	9	La4b3	A4b4	302	301	1	8	400	99	96		18
381	55			0	0	0	0	0	0	0		18
382	9	Si4b5	B4b5	309	309	1	16	200	99	96		18.02778
383	9	Do5	C5	318	318	1	16	200	99	96		18.05556
384	9	Re5	D5	327	327	1	16	200	99	96		18.08333
385	9	Mi5b5	E5b5	331	331	1	16	200	99	96		18.11111
386	9	Re5	D5	327	327	1	16	200	99	96		18.13889
387	9	Do5	C5	318	318	1	16	200	99	96		18.16667
388	9	Si4b5	B4b5	309	309	1	16	200	99	96		18.19444
389	9	La4b5	A4b5	300	300	1	16	200	99	96		18.22222
390	9	Sol4	G4	296	296	1	4	800	95	96		18.33333
391	53			0	0	0	0	0	0	0		18.33333
392	9	Do5	C5	318	318	1	8	400	95	96	re	18.38889
393	9	Re5	D5	327	327	1	8	400	95	96	li	18.44444
394	9	Re5	D5	327	327	3	16	600	99	96	dir 	18.52778
