Sıra	Kod	Nota53	NotaAE	Koma53	KomaAE	Pay	Payda	Ms	LNS	Bas	Soz1	Offset
258	9	Do5	C5	318	318	1	4	588	99	96	dil	37.88889
259	9	Si4b2	B4b1	312	313	1	8	294	95	96		38
260	9	Si4b2	B4b1	312	313	1	4	588	95	96	ler 	38.22222
261	9	Si4b2	B4b1	312	313	1	4	588	95	96	ya	38.44444
262	9	Re5b3	D5b4	324	323	1	4	588	99	96	nar  	38.66667
263	9	Do5	C5	318	318	1	4	588	99	96		38.88889
264	9	Si4b2	B4b1	312	313	1	8	294	95	96		39
265	53			0	0	0	0	0	0	0		39
266	9	Si4b2	B4b1	312	313	1	4	588	95	96	Kan	39.22222
267	9	Si4b2	B4b1	312	313	1	4	588	95	96	dil	39.44444
268	9	Re5b3	D5b4	324	323	1	4	588	95	96	ler 	39.66667
269	9	Do5	C5	318	318	1	4	588	99	96	şav	39.88889
270	9	Si4b2	B4b1	312	313	1	8	294	95	96		40
271	9	Do5	C5	318	318	1	4	588	95	96	kı	40.22222
272	9	Si4b2	B4b1	312	313	1	8	294	95	96	na 	40.33333
273	9	La4	A4	305	305	1	8	294	95	96		40.44444
274	9	La4	A4	305	305	1	8	294	99	96	bül	40.55556
275	9	Si4b2	B4b1	312	313	1	8	294	95	96		40.66667
276	9	Do5	C5	318	318	1	8	294	99	96	bül	40.77778
277	9	Si4b2	B4b1	312	313	1	8	294	99	96		40.88889
278	9	Do5	C5	318	318	1	8	294	95	96		41
279	9	Si4b2	B4b1	312	313	1	8	294	99	96	ler 	41.11111
280	9	La4	A4	305	305	1	4	588	95	96		41.33333
281	9	La4	A4	305	305	1	8	294	95	96	ka	41.44444
282	9	Si4b2	B4b1	312	313	1	8	294	99	96	nar  	41.55556
283	9	La4	A4	305	305	1	8	294	99	96		41.66667
284	9	Si4b2	B4b1	312	313	3	8	882	95	96		42
285	53			0	0	0	0	0	0	0		42
286	9	Si4b2	B4b1	312	313	1	4	588	95	96	Kan	42.22222
287	9	Si4b2	B4b1	312	313	1	4	588	95	96	dil	42.44444
288	9	Re5b3	D5b4	324	323	1	4	588	95	96	ler 	42.66667
289	9	Do5	C5	318	318	1	4	588	99	96	şav	42.88889
290	9	Si4b2	B4b1	312	313	1	8	294	95	96		43
291	9	Do5	C5	318	318	1	4	588	95	96	kı	43.22222
292	9	Si4b2	B4b1	312	313	1	8	294	95	96	na 	43.33333
293	9	La4	A4	305	305	1	8	294	95	96		43.44444
294	9	La4	A4	305	305	1	8	294	99	96	bül	43.55556
295	9	Si4b2	B4b1	312	313	1	8	294	95	96		43.66667
296	9	Do5	C5	318	318	1	8	294	99	96	bül	43.77778
297	9	Si4b2	B4b1	312	313	1	8	294	99	96		43.88889
298	9	Do5	C5	318	318	1	8	294	95	96		44
299	9	Si4b2	B4b1	312	313	1	8	294	99	96	ler 	44.11111
300	9	La4	A4	305	305	1	4	588	95	96		44.33333
301	9	La4	A4	305	305	1	8	294	95	96	ka	44.44444
302	9	La4	A4	305	305	1	4	588	95	96	nar  	44.66667
303	9	Do5	C5	318	318	1	16	147	95	96	SAZ 	44.72222
304	9	Re5b3	D5b4	324	323	1	16	147	95	96	.	44.77778
